Validation Accuracy: 0.9176, Hyperparameters: lr=0.001, batch_size=16, dropout=0, hidden_size=32
Validation Accuracy: 0.9126, Hyperparameters: lr=0.001, batch_size=16, dropout=0, hidden_size=64
Validation Accuracy: 0.9070, Hyperparameters: lr=0.001, batch_size=16, dropout=0, hidden_size=128
Validation Accuracy: 0.9187, Hyperparameters: lr=0.001, batch_size=16, dropout=0.1, hidden_size=32
Validation Accuracy: 0.9131, Hyperparameters: lr=0.001, batch_size=16, dropout=0.1, hidden_size=64
Validation Accuracy: 0.9045, Hyperparameters: lr=0.001, batch_size=16, dropout=0.1, hidden_size=128
Validation Accuracy: 0.9153, Hyperparameters: lr=0.001, batch_size=16, dropout=0.2, hidden_size=32
Validation Accuracy: 0.9000, Hyperparameters: lr=0.001, batch_size=16, dropout=0.2, hidden_size=64
Validation Accuracy: 0.9004, Hyperparameters: lr=0.001, batch_size=16, dropout=0.2, hidden_size=128
Validation Accuracy: 0.8993, Hyperparameters: lr=0.001, batch_size=16, dropout=0.3, hidden_size=32
Validation Accuracy: 0.9049, Hyperparameters: lr=0.001, batch_size=16, dropout=0.3, hidden_size=64
Validation Accuracy: 0.8937, Hyperparameters: lr=0.001, batch_size=16, dropout=0.3, hidden_size=128
Validation Accuracy: 0.9038, Hyperparameters: lr=0.001, batch_size=16, dropout=0.4, hidden_size=32
Validation Accuracy: 0.8933, Hyperparameters: lr=0.001, batch_size=16, dropout=0.4, hidden_size=64
Validation Accuracy: 0.8727, Hyperparameters: lr=0.001, batch_size=16, dropout=0.4, hidden_size=128
Validation Accuracy: 0.9262, Hyperparameters: lr=0.001, batch_size=32, dropout=0, hidden_size=32
Validation Accuracy: 0.9246, Hyperparameters: lr=0.001, batch_size=32, dropout=0, hidden_size=64
Validation Accuracy: 0.9132, Hyperparameters: lr=0.001, batch_size=32, dropout=0, hidden_size=128
Validation Accuracy: 0.9293, Hyperparameters: lr=0.001, batch_size=32, dropout=0.1, hidden_size=32
Validation Accuracy: 0.9282, Hyperparameters: lr=0.001, batch_size=32, dropout=0.1, hidden_size=64
Validation Accuracy: 0.9226, Hyperparameters: lr=0.001, batch_size=32, dropout=0.1, hidden_size=128
Validation Accuracy: 0.9271, Hyperparameters: lr=0.001, batch_size=32, dropout=0.2, hidden_size=32
Validation Accuracy: 0.9236, Hyperparameters: lr=0.001, batch_size=32, dropout=0.2, hidden_size=64
Validation Accuracy: 0.9165, Hyperparameters: lr=0.001, batch_size=32, dropout=0.2, hidden_size=128
Validation Accuracy: 0.9163, Hyperparameters: lr=0.001, batch_size=32, dropout=0.3, hidden_size=32
Validation Accuracy: 0.9197, Hyperparameters: lr=0.001, batch_size=32, dropout=0.3, hidden_size=64
Validation Accuracy: 0.9120, Hyperparameters: lr=0.001, batch_size=32, dropout=0.3, hidden_size=128
Validation Accuracy: 0.9138, Hyperparameters: lr=0.001, batch_size=32, dropout=0.4, hidden_size=32
Validation Accuracy: 0.9120, Hyperparameters: lr=0.001, batch_size=32, dropout=0.4, hidden_size=64
Validation Accuracy: 0.8979, Hyperparameters: lr=0.001, batch_size=32, dropout=0.4, hidden_size=128
Validation Accuracy: 0.9299, Hyperparameters: lr=0.001, batch_size=64, dropout=0, hidden_size=32
Validation Accuracy: 0.9283, Hyperparameters: lr=0.001, batch_size=64, dropout=0, hidden_size=64
Validation Accuracy: 0.9322, Hyperparameters: lr=0.001, batch_size=64, dropout=0, hidden_size=128
Validation Accuracy: 0.9332, Hyperparameters: lr=0.001, batch_size=64, dropout=0.1, hidden_size=32
Validation Accuracy: 0.9311, Hyperparameters: lr=0.001, batch_size=64, dropout=0.1, hidden_size=64
Validation Accuracy: 0.9293, Hyperparameters: lr=0.001, batch_size=64, dropout=0.1, hidden_size=128
Validation Accuracy: 0.9294, Hyperparameters: lr=0.001, batch_size=64, dropout=0.2, hidden_size=32
Validation Accuracy: 0.9301, Hyperparameters: lr=0.001, batch_size=64, dropout=0.2, hidden_size=64
Validation Accuracy: 0.9301, Hyperparameters: lr=0.001, batch_size=64, dropout=0.2, hidden_size=128
Validation Accuracy: 0.9289, Hyperparameters: lr=0.001, batch_size=64, dropout=0.3, hidden_size=32
Validation Accuracy: 0.9299, Hyperparameters: lr=0.001, batch_size=64, dropout=0.3, hidden_size=64
Validation Accuracy: 0.9271, Hyperparameters: lr=0.001, batch_size=64, dropout=0.3, hidden_size=128
Validation Accuracy: 0.9291, Hyperparameters: lr=0.001, batch_size=64, dropout=0.4, hidden_size=32
Validation Accuracy: 0.9241, Hyperparameters: lr=0.001, batch_size=64, dropout=0.4, hidden_size=64
Validation Accuracy: 0.9281, Hyperparameters: lr=0.001, batch_size=64, dropout=0.4, hidden_size=128
Validation Accuracy: 0.9238, Hyperparameters: lr=0.001, batch_size=128, dropout=0, hidden_size=32
Validation Accuracy: 0.9352, Hyperparameters: lr=0.001, batch_size=128, dropout=0, hidden_size=64
Validation Accuracy: 0.9410, Hyperparameters: lr=0.001, batch_size=128, dropout=0, hidden_size=128
Validation Accuracy: 0.9296, Hyperparameters: lr=0.001, batch_size=128, dropout=0.1, hidden_size=32
Validation Accuracy: 0.9390, Hyperparameters: lr=0.001, batch_size=128, dropout=0.1, hidden_size=64
Validation Accuracy: 0.9412, Hyperparameters: lr=0.001, batch_size=128, dropout=0.1, hidden_size=128
Validation Accuracy: 0.9378, Hyperparameters: lr=0.001, batch_size=128, dropout=0.2, hidden_size=32
Validation Accuracy: 0.9362, Hyperparameters: lr=0.001, batch_size=128, dropout=0.2, hidden_size=64
Validation Accuracy: 0.9362, Hyperparameters: lr=0.001, batch_size=128, dropout=0.2, hidden_size=128
Validation Accuracy: 0.9397, Hyperparameters: lr=0.001, batch_size=128, dropout=0.3, hidden_size=32
Validation Accuracy: 0.9364, Hyperparameters: lr=0.001, batch_size=128, dropout=0.3, hidden_size=64
Validation Accuracy: 0.9380, Hyperparameters: lr=0.001, batch_size=128, dropout=0.3, hidden_size=128
Validation Accuracy: 0.9277, Hyperparameters: lr=0.001, batch_size=128, dropout=0.4, hidden_size=32
Validation Accuracy: 0.9342, Hyperparameters: lr=0.001, batch_size=128, dropout=0.4, hidden_size=64
Validation Accuracy: 0.9310, Hyperparameters: lr=0.001, batch_size=128, dropout=0.4, hidden_size=128
Validation Accuracy: 0.9306, Hyperparameters: lr=0.0001, batch_size=16, dropout=0, hidden_size=32
Validation Accuracy: 0.9494, Hyperparameters: lr=0.0001, batch_size=16, dropout=0, hidden_size=64
Validation Accuracy: 0.9485, Hyperparameters: lr=0.0001, batch_size=16, dropout=0, hidden_size=128
Validation Accuracy: 0.9390, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.1, hidden_size=32
Validation Accuracy: 0.9503, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.1, hidden_size=64
Validation Accuracy: 0.9520, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.1, hidden_size=128
Validation Accuracy: 0.9424, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.2, hidden_size=32
Validation Accuracy: 0.9500, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.2, hidden_size=64
Validation Accuracy: 0.9506, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.2, hidden_size=128
Validation Accuracy: 0.9402, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.3, hidden_size=32
Validation Accuracy: 0.9533, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.3, hidden_size=64
Validation Accuracy: 0.9540, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.3, hidden_size=128
Validation Accuracy: 0.9293, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.4, hidden_size=32
Validation Accuracy: 0.9567, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.4, hidden_size=64
Validation Accuracy: 0.9499, Hyperparameters: lr=0.0001, batch_size=16, dropout=0.4, hidden_size=128
Validation Accuracy: 0.9348, Hyperparameters: lr=0.0001, batch_size=32, dropout=0, hidden_size=32
Validation Accuracy: 0.9450, Hyperparameters: lr=0.0001, batch_size=32, dropout=0, hidden_size=64
Validation Accuracy: 0.9477, Hyperparameters: lr=0.0001, batch_size=32, dropout=0, hidden_size=128
Validation Accuracy: 0.9354, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.1, hidden_size=32
Validation Accuracy: 0.9476, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.1, hidden_size=64
Validation Accuracy: 0.9494, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.1, hidden_size=128
Validation Accuracy: 0.9375, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.2, hidden_size=32
Validation Accuracy: 0.9443, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.2, hidden_size=64
Validation Accuracy: 0.9542, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.2, hidden_size=128
Validation Accuracy: 0.9277, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.3, hidden_size=32
Validation Accuracy: 0.9496, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.3, hidden_size=64
Validation Accuracy: 0.9504, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.3, hidden_size=128
Validation Accuracy: 0.9298, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.4, hidden_size=32
Validation Accuracy: 0.9415, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.4, hidden_size=64
Validation Accuracy: 0.9514, Hyperparameters: lr=0.0001, batch_size=32, dropout=0.4, hidden_size=128
